Title, Team, City
"A Piece Of Work", LOKAAL 5, Arnhem
"Stall'd", Fumblers, Albuquerque
"Chut", Collectif Egregore, Bordeaux
"Peace & Tranquility", Joppa Studios, Salt Lake City
"Mommy", Filmingo's, Bonaire
"Todos Os Tons de Azul", Magnórios, Lisbon
"Mobley Mei Zu", Phresh New Day Productions, Miami
"No Fowl Play", 52 Scripts, Detroit
"Some Kind Of Joe", Story in Motion, Kickoff 48
"Melting Point", Lumière Créative, Kickoff 48
"Elevator", ColdPunk Productions, Hampton Roads
"Rotary", Simpatico Pictures, Savannah
"Finalmente", Ilusión Inteligencia Audiovisual, Santiago
"We The Printer", DEATH ITSELF, Philadelphia
"Santa's Cookies", Bach Boys, Saint Louis
"Family Time", Strange Goose Productions, Aberdeen
"Choppers", Karmous Films, Eindhoven
"False Advertising", Quentin Tarantaco, San Antonio
"SA Confidential", ECIF, East London
"Marinate", Big Sky Film Company, Montana
"Persephone", Teamphy, Marrakech
"Zoya", Crooked Rabbit, Vilnius
"Magnet Brain", Houndstooth Films, Baltimore
"Plugged In", The Ink Tank, Boston
"Something There", 38 Gigabytes, Buffalo
"Diaboł", Studio System, Warsaw
"Last Train Home", Alpaca Pictures, Edinburgh
"Coucou Hibou!", Shortwheel Revival, Rennes
"Hey Sherri", First Class Pilots, Charlotte
"Fluturon Fluturon", Korniza, Tirana
"My Friend Gourdon", Shwing Entertainment, Atlantic Canada
"Branie", Flagey Productions, Utrecht
"Borderline", Spring Street Tales, Seattle
"Liberarse", Raccord104, Uruguay
"Wish Me Luck", Good Gravy, Melbourne
"Mimosa", Les courts-bouillons, Côte d'Azur
"A Houston Story", Briones Painting Company, Houston
"Sugar Glass", Unidentified Fox, Nashville
"Will To Live", Famously Hot Films, Atlanta
"Liées", JJ Brothers Production, Geneva
"Sujeto 882", Cuarto Para 7 Producciones, Lima
"Ai-Bon - Recipe For The Return -", ArigaTO, Fukuoka
"Hollow Drains", FAMILIA ASESINA, Noord
"The First Step", 5X1Y FILMS, Okanagan
"There's Something In The Water", Gallo Pinto Productions, Las Vegas
"Hell Hath No Fury Like A Sister's Corn", Dandelion, Portland OR
"Bow", YALLA, Beirut
"Health Hive", Cut Dat Out Productions, New Orleans
"Ruff & Ready", North Star, Manchester
"Le Souffle Coupé", Kayak sur Seine, France Online
"Neighborhood Security", Rotten Rabbit, Orlando
"Manus Erectus", Les Chucks the Light, Lyon
"How to Travel the World and Talk to Animals While You Do It", Broaden Films, Wisconsin
"The Nightmare Before Halloween", Moco Studios, Atlanta
"Meat Printer", Nightmare on Hilton Street, Des Moines
"Oath of the Fallen", Cosmic Attic, Hampton Roads
"Brahmen Synthetic", Human Egg Productions, Cleveland
"The Critic", On Sundays We Wear Black, Seattle
"The Liquidation", Berlin Based, Richmond
"The Curse Of The Bambino", Wolf Den, Los Angeles
"Overdue", Autumn Wind Films, Pittsburgh
"Just Kill Me", Long Story Short Media, Washington DC
"Entangled", Cortado Studios, Amsterdam
"Dust Off", Team Maharlika, Toronto
"Boo", Easy Peasy, Providence
"We Have To Kill Terry", Name:Brand, Portland OR
"Doom Scroll", Deep Field Cinema, Horror-Fantasy Online
"Voor Stippie", Beeldspraak, Rotterdam
"La Vallée Du Silence", French Characters, Grand Est
"Last Living Bird", Hot Batteries, Greensboro
"Balloon Man", Blender, Dallas
"Good Buddy", KINO, Johannesburg
"Junk Mail", Tiny Explosions, Des Moines
"The Adventures Of Captain Copernico", Stubborn Media, Bay Area
"Són", PANORAWMA CREW, Puerto Rico
"Vivre Ensemble", L'Amour, Paris
"FlashPoint", Overlock Studio, Brighton
"Hotel Hell", Hot House, Chicago
"The One That Got Away", Kinetic Arts Collective, Indianapolis
"Carry Me", N.E.P., Osaka
"Antes De La Felicidad", JASE, Colombia
"Benny", Fast Forward Filmcrew, Antwerp
"Dynamite", LAPSO, El Paso
"Echoes", Paradigm Shift, Los Angeles
"What Are You Into?", Dispel Films, London
"Delivery Driver", Reel Amateurs, New Haven
"Finding Ryan", The Downeasterners, Portland ME
"Podchody", Studio Bąk, Poland Online
"Rewrite", JOYFILM, South Carolina
"The Greatest Show-Off", GOOD PEOPLE, Shanghai
"White Tower Computers Ltd", AT-AT, Thessaloniki
"The Final Broadcast", 99 Takes Later, Tunis
"Roomies", Roll for Initiative, Washington DC
"Zumbidos De Silencio", Tropel, Bolivia
"Western Medicine", Cut & Run, Brisbane
"The Crossing", sunnySide, Curaçao
"Mixtape & Melody", Stranger Studios, Denver
"Sired", Breathing Ink, Durban
"Piece In Dal Riata", Dropshack, Inverness
"Pou Fé Lèv Soleil", ATIKAOUNE PRODUCTIONS, La Réunion
"Opacity", Small Step Films, Louisville
"The Freedom Fighters", Zebra Salad, Oklahoma City
"AMICUS", Arch Light Studios, Paducah
"Forever", Graydog Films, Reno
"Il Polpettone", A Good Situations, Rome
"Pawòl A Moun Lach", Eyes & Soul, Guadeloupe
"Crumbs", Handprinted Movies, Animation - Audience
"Feast Or Failure", O-Studios, Animation - Computer
"The Vanishing Hour", Bad Tiger Animation, Animation - Stop Motion
"Strive To Drive With Ulysses", Keep Austin Film, Austin
"The Tour", Perfection Pyre Productions, Bristol
"Beneath", Shot By Short Notice, Cape Town
"Liv-e", The Broadcast Club, Cleveland
"Here We Go Again", BLOCK414, Glasgow
"Post", No Umbrella Studios, Inland Empire
"En Accord", ÉVEIL Prod, Montpellier
"Poisskai", Ben Brothers Production, Nantes
"Let It Go", Dopamine, New York
"Tango", Extra Rad, San Diego
"Brain Dead", The Intergalactic Federation of Space Beers, Toronto
"Hard Heritage", Black Power Productions, Accra
"The Spotlight", Conrad Studios, Cincinnati
"Pas Ta Tarte", Cheap Motion Picture Film Movie Production Company Inc Entertainment Industries Ltd Corp Foundation Enterprise International Group Holdings Worldwide Studio, Lausanne
"Poachers", Catherine, Little Rock
"The Retirement Party", Above-the-Line Ent, Minneapolis
"Memoria", The Tout Savoirs, Ottawa
"Andre And Phil Go Up A Hill", The C47s, Pittsburgh
"Nezaliješ", Roztoči za oponou, Prague
"Break", This Is Entertainment, Providence
"Hamburger", The Sunroom, Richmond
"味。", NINPO, Tokyo
"Off.", Skopantin, Toulouse
"Tout Le Temps Là", Apéro ma chérie, Tours
"Items Objects And Things", Electric Milk, Adelaide
"Dinner Party", Titus Touch Media, Asheville
"CheckMate", RBM productions, Castelo Branco
"Basic", Rat Queens, Columbus
"Jamed", Valinor, Hauts-de-France
"Control", Nicalex, Jacksonville
"El trágico caso de los Esquivel", Yohualli Crafts, Mexico
"The Man In The Box", Vermillion Films, Wisconsin
"Nevrose", No Couscous For Old Men, Brussels
"Off-Beat", BCFC, College 48
"Edie and Iris", TMC, College 48
"Ditch Day", Broke Students, College 48
"Writer's Blot", 8FPS, College 48
"An Introvert's Guide To Sport And Wellness: Surfing", Hopscotch Mafia,
"Axiom", KJ Films,
"Child's Play", Eyes & Soul,
"Drenched", BLAT!,
"For Mother", THNV-Media,
"Good Egg", BIG FRIEND,
"How To End A Love Story?", N.O.C. Film,
"I'm Still Here", Hard Genoeg,
"Jamie Is Alone", VisionRey,
"Karmann", Fast Forward Filmcrew,
"Market Moans", HAFT,
"Switcheroo!", Above-the-Line Ent,
"The Tuner", Paradigm Shift,
"Time Trapple", Cutting Room Floor,
"Toe To Toe", Coconutmeat,
